label,area,perimeter,mean_intensity,centroid_row,centroid_col
1,8897.0,1046.1330803764909,126.68663594470046,22.738563560750816,91.72743621445431
2,2606.0,188.75230867899737,156.83115886415962,43.457789716039905,334.5974673829624
3,1684.0,154.16042558696057,168.416864608076,50.76603325415677,155.1419239904988
4,1639.0,150.12489168102786,157.23978035387432,51.02196461256864,215.14215985356924
5,1232.0,132.22539674441617,154.12662337662337,52.42451298701299,275.9862012987013
6,1134.0,125.15432893255071,182.7283950617284,56.21957671957672,100.20370370370371
7,1895.0,172.19595949289334,159.4939313984169,119.02902374670185,270.65118733509235
8,1325.0,137.88225099390854,189.29811320754717,124.34037735849057,44.76301886792453
9,1218.0,129.29646455628165,171.5287356321839,123.71428571428571,205.2528735632184
10,1173.0,126.71067811865476,170.23870417732311,124.42710997442455,336.2028985507246
11,1130.0,123.39696961966999,189.94513274336282,125.57256637168142,102.27610619469027
12,1104.0,122.81118318204308,192.94021739130434,127.27717391304348,153.5588768115942
13,3091.0,217.48023074035524,150.56389517955355,186.30410870268523,347.3034616628923
14,1726.0,157.78174593052023,159.6396292004635,193.0648899188876,212.41135573580533
15,1521.0,151.29646455628165,159.85733070348454,193.79552925706773,273.87113740959893
16,1481.0,141.05382386916236,172.69952734638758,195.54355165428765,101.69412559081701
17,1105.0,133.84671708797583,155.2841628959276,196.85882352941175,43.37194570135747
18,1157.0,125.98275605729688,176.98617113223855,197.70872947277442,154.0847018150389
19,2370.0,240.69343417595167,132.2590717299578,259.67932489451476,46.143037974683544
20,2166.0,228.23759005323592,134.17543859649123,261.033702677747,172.2797783933518
21,1965.0,163.29646455628165,145.6941475826972,263.1913486005089,300.66564885496183
22,1738.0,157.98885271170678,152.90103567318758,263.3596087456847,244.0776754890679
23,1384.0,142.71067811865476,153.51445086705203,265.9017341040462,113.7492774566474
24,1474.0,141.0538238691624,154.1078697421981,267.93962008141114,358.0963364993216
